date,geography,geography code,Number of rooms (VOA): Total: All households,Number of rooms (VOA): 1 room,Number of rooms (VOA): 2 rooms,Number of rooms (VOA): 3 rooms,Number of rooms (VOA): 4 rooms,Number of rooms (VOA): 5 rooms,Number of rooms (VOA): 6 rooms,Number of rooms (VOA): 7 rooms,Number of rooms (VOA): 8 rooms,Number of rooms (VOA): 9 or more rooms
2021,Cambridge,E07000008,52472,1270,7724,11911,10685,13307,3869,1754,926,1026
2021,East Cambridgeshire,E07000009,37204,114,2352,8388,10943,7250,4139,2647,933,438
2021,Fenland,E07000010,44083,154,3209,10899,13435,9499,4001,1717,736,433
2021,Huntingdonshire,E07000011,76880,220,5417,14099,24108,13713,11165,5360,1799,999
2021,South Cambridgeshire,E07000012,66996,175,3915,13145,17366,13801,9337,5547,2395,1315
2021,Allerdale,E07000026,43973,37,1842,10383,15192,9674,3961,1570,697,617
2021,Barrow-in-Furness,E07000027,31259,18,2145,7679,11539,7049,1878,610,182,159
2021,Carlisle,E07000028,50663,23,3167,13441,15734,11009,4275,1769,660,585
2021,Copeland,E07000029,30788,95,989,6326,12426,6878,2331,1007,399,337
2021,Eden,E07000030,24613,31,1200,5076,7763,5124,2933,1387,581,518
2021,South Lakeland,E07000031,47657,172,3133,10892,15064,9878,4644,2205,906,763
2021,Amber Valley,E07000032,56277,73,3090,14023,19501,11990,4809,1774,628,389
2021,Bolsover,E07000033,35262,71,1212,9647,14286,6839,2109,691,279,128
2021,Chesterfield,E07000034,48057,209,4478,12975,16423,9239,3522,857,217,137
2021,Derbyshire Dales,E07000035,32280,124,1994,7323,9464,6877,3430,1775,681,612
2021,Erewash,E07000036,50333,85,3284,9946,18686,13160,3572,1060,365,175
2021,High Peak,E07000037,40772,163,3156,11568,12288,7325,3877,1523,509,363
2021,North East Derbyshire,E07000038,45988,54,2329,11773,17116,9005,3737,1317,453,204
2021,South Derbyshire,E07000039,45242,46,1711,8663,15317,10538,5592,2379,648,348
2021,East Devon,E07000040,66788,268,4330,16274,19696,13423,6840,3391,1427,1139
2021,Exeter,E07000041,52555,951,6420,11609,13684,12479,4277,1882,715,538
2021,Mid Devon,E07000042,35632,156,2564,8167,10492,6523,4056,2126,804,744
2021,North Devon,E07000043,43198,224,3543,10053,12645,8530,4120,2222,940,921
2021,South Hams,E07000044,39335,117,2666,8815,11414,8094,4542,1991,853,843
2021,Teignbridge,E07000045,59840,421,4769,14888,16589,11851,6276,2969,1157,920
2021,Torridge,E07000046,30454,60,1803,7231,9523,6122,3049,1447,672,547
2021,West Devon,E07000047,24818,92,1581,5409,6891,5114,2845,1566,665,655
2021,Eastbourne,E07000061,45610,1466,6040,12977,11516,8019,3124,1409,506,553
2021,Hastings,E07000062,40454,745,5980,10538,10051,7347,3134,1440,609,610
2021,Lewes,E07000063,43688,625,3903,10773,13210,8004,3804,1806,833,730
2021,Rother,E07000064,42100,306,3372,10708,11007,8000,4176,2294,1197,1040
2021,Wealden,E07000065,68268,348,4294,15376,17736,13046,8180,4688,2433,2167
2021,Basildon,E07000066,76365,728,8633,17111,23974,13879,7994,2691,954,401
2021,Braintree,E07000067,64987,351,5033,14358,18990,14084,6641,3437,1279,814
2021,Brentwood,E07000068,32342,283,3204,7092,7921,6834,3617,1858,899,634
2021,Castle Point,E07000069,37389,179,3251,8612,12687,6930,3938,1251,390,151
2021,Chelmsford,E07000070,75403,462,7733,14991,18699,17541,8960,4367,1613,1037
2021,Colchester,E07000071,79711,825,7210,17982,23799,16460,7698,3636,1294,807
2021,Epping Forest,E07000072,54554,509,5499,12205,13797,12291,5297,2598,1263,1095
2021,Harlow,E07000073,37855,831,5148,11760,11047,6198,1933,685,173,80
2021,Maldon,E07000074,27901,83,2050,4906,7868,5454,3548,2541,889,562
